,Order_ID,Date,Store_ID,Qty,Product_ID
0,3,2013-01-01,1,0.0,3
1,5,2013-01-01,1,0.0,5
2,7,2013-01-01,1,0.0,7
3,8,2013-01-01,1,0.0,8
4,10,2013-01-01,1,0.0,10
5,11,2013-01-01,1,0.0,11
6,12,2013-01-01,1,0.0,12
7,15,2013-01-01,1,0.0,15
8,16,2013-01-01,1,0.0,16
9,20,2013-01-01,1,0.0,20
10,22,2013-01-01,1,0.0,22
11,24,2013-01-01,1,0.0,24
12,27,2013-01-01,1,0.0,27
13,29,2013-01-01,1,0.0,29
14,32,2013-01-01,1,0.0,32
15,36,2013-01-01,10,0.0,3
16,38,2013-01-01,10,0.0,5
17,40,2013-01-01,10,0.0,7
18,41,2013-01-01,10,0.0,8
19,43,2013-01-01,10,0.0,10
20,44,2013-01-01,10,0.0,11
21,45,2013-01-01,10,0.0,12
22,48,2013-01-01,10,0.0,15
23,49,2013-01-01,10,0.0,16
24,53,2013-01-01,10,0.0,20
25,55,2013-01-01,10,0.0,22
26,57,2013-01-01,10,0.0,24
27,60,2013-01-01,10,0.0,27
28,62,2013-01-01,10,0.0,29
29,65,2013-01-01,10,0.0,32
30,69,2013-01-01,11,0.0,3
31,71,2013-01-01,11,0.0,5
32,73,2013-01-01,11,0.0,7
33,74,2013-01-01,11,0.0,8
34,76,2013-01-01,11,0.0,10
35,77,2013-01-01,11,0.0,11
36,78,2013-01-01,11,0.0,12
37,81,2013-01-01,11,0.0,15
38,82,2013-01-01,11,0.0,16
39,86,2013-01-01,11,0.0,20
40,88,2013-01-01,11,0.0,22
41,90,2013-01-01,11,0.0,24
42,93,2013-01-01,11,0.0,27
43,95,2013-01-01,11,0.0,29
44,98,2013-01-01,11,0.0,32
45,102,2013-01-01,12,0.0,3
46,104,2013-01-01,12,0.0,5
47,106,2013-01-01,12,0.0,7
48,107,2013-01-01,12,0.0,8
49,109,2013-01-01,12,0.0,10
50,110,2013-01-01,12,0.0,11
51,111,2013-01-01,12,0.0,12
52,114,2013-01-01,12,0.0,15
53,115,2013-01-01,12,0.0,16
54,119,2013-01-01,12,0.0,20
55,121,2013-01-01,12,0.0,22
56,123,2013-01-01,12,0.0,24
57,126,2013-01-01,12,0.0,27
58,128,2013-01-01,12,0.0,29
59,131,2013-01-01,12,0.0,32
60,135,2013-01-01,13,0.0,3
61,137,2013-01-01,13,0.0,5
62,139,2013-01-01,13,0.0,7
63,140,2013-01-01,13,0.0,8
64,142,2013-01-01,13,0.0,10
65,143,2013-01-01,13,0.0,11
66,144,2013-01-01,13,0.0,12
67,147,2013-01-01,13,0.0,15
68,148,2013-01-01,13,0.0,16
69,152,2013-01-01,13,0.0,20
70,154,2013-01-01,13,0.0,22
71,156,2013-01-01,13,0.0,24
72,159,2013-01-01,13,0.0,27
73,161,2013-01-01,13,0.0,29
74,164,2013-01-01,13,0.0,32
75,168,2013-01-01,14,0.0,3
76,170,2013-01-01,14,0.0,5
77,172,2013-01-01,14,0.0,7
78,173,2013-01-01,14,0.0,8
79,175,2013-01-01,14,0.0,10
80,176,2013-01-01,14,0.0,11
81,177,2013-01-01,14,0.0,12
82,180,2013-01-01,14,0.0,15
83,181,2013-01-01,14,0.0,16
84,185,2013-01-01,14,0.0,20
85,187,2013-01-01,14,0.0,22
86,189,2013-01-01,14,0.0,24
87,192,2013-01-01,14,0.0,27
88,194,2013-01-01,14,0.0,29
89,197,2013-01-01,14,0.0,32
90,201,2013-01-01,15,0.0,3
91,203,2013-01-01,15,0.0,5
92,205,2013-01-01,15,0.0,7
93,206,2013-01-01,15,0.0,8
94,208,2013-01-01,15,0.0,10
95,209,2013-01-01,15,0.0,11
96,210,2013-01-01,15,0.0,12
97,213,2013-01-01,15,0.0,15
98,214,2013-01-01,15,0.0,16
99,218,2013-01-01,15,0.0,20
100,220,2013-01-01,15,0.0,22
101,222,2013-01-01,15,0.0,24
102,225,2013-01-01,15,0.0,27
103,227,2013-01-01,15,0.0,29
104,230,2013-01-01,15,0.0,32
105,234,2013-01-01,16,0.0,3
106,236,2013-01-01,16,0.0,5
107,238,2013-01-01,16,0.0,7
108,239,2013-01-01,16,0.0,8
109,241,2013-01-01,16,0.0,10
110,242,2013-01-01,16,0.0,11
111,243,2013-01-01,16,0.0,12
112,246,2013-01-01,16,0.0,15
113,247,2013-01-01,16,0.0,16
114,251,2013-01-01,16,0.0,20
115,253,2013-01-01,16,0.0,22
116,255,2013-01-01,16,0.0,24
117,258,2013-01-01,16,0.0,27
118,260,2013-01-01,16,0.0,29
119,263,2013-01-01,16,0.0,32
120,267,2013-01-01,17,0.0,3
121,269,2013-01-01,17,0.0,5
122,271,2013-01-01,17,0.0,7
123,272,2013-01-01,17,0.0,8
124,274,2013-01-01,17,0.0,10
125,275,2013-01-01,17,0.0,11
126,276,2013-01-01,17,0.0,12
127,279,2013-01-01,17,0.0,15
128,280,2013-01-01,17,0.0,16
129,284,2013-01-01,17,0.0,20
130,286,2013-01-01,17,0.0,22
131,288,2013-01-01,17,0.0,24
132,291,2013-01-01,17,0.0,27
133,293,2013-01-01,17,0.0,29
134,296,2013-01-01,17,0.0,32
135,300,2013-01-01,18,0.0,3
136,302,2013-01-01,18,0.0,5
137,304,2013-01-01,18,0.0,7
138,305,2013-01-01,18,0.0,8
139,307,2013-01-01,18,0.0,10
140,308,2013-01-01,18,0.0,11
141,309,2013-01-01,18,0.0,12
142,312,2013-01-01,18,0.0,15
143,313,2013-01-01,18,0.0,16
144,317,2013-01-01,18,0.0,20
145,319,2013-01-01,18,0.0,22
146,321,2013-01-01,18,0.0,24
147,324,2013-01-01,18,0.0,27
148,326,2013-01-01,18,0.0,29
149,329,2013-01-01,18,0.0,32
